Rk,Player Name,Nation,Position,Squad,Comp,Age,Birth Year,Games,Starts,Minutes,Nintys,Gls,Ast,G+A,G-PK,PK,PKatt,Yellow,Red,PrgC,PrgP,PrgR,Market Value
74,andreas albers,DEN,FW,st pauli,Bundesliga,34,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,1,3,6,25.0
75,ral albiol,ESP,DF,villarreal,La Liga,39,1985,15,14,1188,13.2,0,0,0,0,0,0,5,0,3,34,0,12.58
76,carlos alcaraz,ARG,MF,southampton,Premier League,22,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,4,6,1,14.0
78,omar alderete,PAR,DF,getafe,La Liga,28,1996,23,23,2046,22.7,0,0,0,0,0,0,6,0,23,81,5,12.58
79,carles ale,ESP,MF,getafe,La Liga,27,1998,10,5,452,5.0,0,0,0,0,0,0,1,0,3,12,10,12.58
81,trent alexanderarnold,ENG,DF,liverpool,Premier League,26,1998,26,24,1981,22.0,2,6,8,2,0,0,4,0,44,182,81,75.0
82,alfon,ESP,FW,celta vigo,La Liga,25,1999,14,5,526,5.8,1,1,2,1,0,0,0,1,39,12,60,12.58
83,mohamed ali cho,FRA,FW,nice,Ligue 1,21,2004,19,17,1282,14.2,3,3,6,3,0,0,2,0,55,45,103,12.0
84,faride alidou,GER,FW,hellas verona,Serie A,23,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,1,1,2,12.58
85,alisson,BRA,GK,liverpool,Premier League,32,1992,19,19,1698,18.9,0,0,0,0,0,0,0,0,0,0,0,60.0
86,tadeo allende,ARG,FW,celta vigo,La Liga,26,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0,0,0,1.5
87,jim allevinah,GAB,FW,angers,Ligue 1,29,1995,19,18,1256,14.0,0,3,3,0,0,0,3,0,29,37,67,12.58
88,thiago almada,ARG,MF,lyon,Ligue 1,23,2001,5,0,97,1.1,0,0,0,0,0,0,1,0,6,19,4,27.0
89,domingos andr ribeiro almeida,POR,MF,valencia,La Liga,24,2000,22,14,1230,13.7,0,1,1,0,0,0,1,0,27,85,47,1.5
90,iker almena,ESP,FW,girona,La Liga,20,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,6,2,10,12.58
91,miguel almirn,PAR,FW,newcastle utd,Premier League,31,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,3,6,18,16.0
92,pontus almqvist,SWE,FW,parma,Serie A,25,1999,23,6,816,9.1,1,1,2,1,0,0,3,0,34,12,69,12.58
93,marcos alonso,ESP,DF,celta vigo,La Liga,34,1990,19,17,1620,18.0,0,0,0,0,0,0,8,1,31,126,34,12.58
94,giorgio altare,ITA,DF,venezia,Serie A,26,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,4,20,5,12.58
95,adri altimira,ESP,DF,legans,La Liga,23,2001,15,12,1082,12.0,0,0,0,0,0,0,3,0,14,31,33,7.5
96,sergi altimira,ESP,MF,betis,La Liga,23,2001,21,15,1390,15.4,0,1,1,0,0,0,2,0,15,69,21,7.5
97,edson lvarez,MEX,MF,west ham,Premier League,27,1997,21,16,1406,15.6,0,1,1,0,0,0,8,1,17,62,16,30.0
98,hugo lvarez,ESP,MF,celta vigo,La Liga,21,2003,22,14,1387,15.4,4,2,6,4,0,0,5,0,66,48,143,7.5
99,julin lvarez,ARG,FW,atltico madrid,La Liga,25,2000,25,20,1669,18.5,9,2,11,8,1,1,4,0,55,54,111,90.0
100,yeray lvarez,ESP,DF,athletic club,La Liga,30,1995,14,13,1151,12.8,0,0,0,0,0,0,3,0,14,83,0,7.5
101,skelly alvero,FRA,MF,werder bremen,Bundesliga,22,2002,12,1,236,2.6,0,0,0,0,0,0,1,0,1,8,0,12.58
102,will alves,ENG,FW,leicester city,Premier League,20,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,1,12.58
103,selim amallah,MAR,MF,valladolid,La Liga,28,1996,16,12,964,10.7,3,1,4,2,1,1,5,0,20,34,16,12.58
104,amath,SEN,FW,valladolid,La Liga,28,1996,9,5,316,3.5,0,1,1,0,0,0,1,0,7,11,21,30.0
105,jordan amavi,FRA,DF,brest,Ligue 1,30,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,22,36,21,12.58
106,aurele amenda,SUI,DF,eint frankfurt,Bundesliga,21,2003,4,1,70,0.8,0,0,0,0,0,0,1,0,1,1,1,9.5
107,kelvin amian,FRA,DF,nantes,Ligue 1,27,1998,20,15,1433,15.9,1,0,1,1,0,0,3,0,24,45,55,12.58
108,michael amir murillo,PAN,DF,marseille,Ligue 1,29,1996,22,19,1784,19.8,1,2,3,1,0,0,1,0,28,108,72,50.0
